,API,F0,cf_high,cf_low,code,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
27,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,exp1b,AI,[0.001],0.1,0.01,200000.0,25.825346609990415,Zilany2014,Zilany2014,40.0,51.0,20.0,0.003139240342449239,none
28,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,exp1b,AI,[0.001],0.1,0.01,200000.0,35.82534660999041,Zilany2014,Zilany2014,40.0,51.0,30.0,0.0028702232731164443,none
29,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,exp1b,AI,[0.001],0.1,0.01,200000.0,45.82534660999041,Zilany2014,Zilany2014,40.0,51.0,40.0,0.002701825778497596,none
30,[0.],480.27813534169,5283.05948875859,2401.39067670845,exp1b,AI,[0.001],0.1,0.01,200000.0,24.396579551198933,Zilany2014,Zilany2014,40.0,51.0,20.0,0.004161570429020628,none
31,[0.],480.27813534169,5283.05948875859,2401.39067670845,exp1b,AI,[0.001],0.1,0.01,200000.0,34.39657955119893,Zilany2014,Zilany2014,40.0,51.0,30.0,0.004141060811610614,none
32,[0.],480.27813534169,5283.05948875859,2401.39067670845,exp1b,AI,[0.001],0.1,0.01,200000.0,44.39657955119893,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0041376550615304835,none
33,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,exp1b,AI,[0.001],0.1,0.01,200000.0,22.96831848683961,Zilany2014,Zilany2014,40.0,51.0,20.0,0.005886661688590242,none
34,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,exp1b,AI,[0.001],0.1,0.01,200000.0,32.96831848683961,Zilany2014,Zilany2014,40.0,51.0,30.0,0.0060265401357685,none
35,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,exp1b,AI,[0.001],0.1,0.01,200000.0,42.96831848683961,Zilany2014,Zilany2014,40.0,51.0,40.0,0.006237268877972103,none
36,[0.],586.6239268463596,6452.863195309956,2933.119634231798,exp1b,AI,[0.001],0.1,0.01,200000.0,21.603993096175458,Zilany2014,Zilany2014,40.0,51.0,20.0,0.008002974664942767,none
37,[0.],586.6239268463596,6452.863195309956,2933.119634231798,exp1b,AI,[0.001],0.1,0.01,200000.0,31.603993096175458,Zilany2014,Zilany2014,40.0,51.0,30.0,0.008276273797691153,none
38,[0.],586.6239268463596,6452.863195309956,2933.119634231798,exp1b,AI,[0.001],0.1,0.01,200000.0,41.60399309617546,Zilany2014,Zilany2014,40.0,51.0,40.0,0.008629064573501793,none
39,[0.],648.3257202420679,7131.582922662747,3241.628601210339,exp1b,AI,[0.001],0.1,0.01,200000.0,20.506141534002488,Zilany2014,Zilany2014,40.0,51.0,20.0,0.0107551374707212,none
40,[0.],648.3257202420679,7131.582922662747,3241.628601210339,exp1b,AI,[0.001],0.1,0.01,200000.0,30.506141534002488,Zilany2014,Zilany2014,40.0,51.0,30.0,0.010723235005822292,none
41,[0.],648.3257202420679,7131.582922662747,3241.628601210339,exp1b,AI,[0.001],0.1,0.01,200000.0,40.50614153400249,Zilany2014,Zilany2014,40.0,51.0,40.0,0.011400952287743772,none
42,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,exp1b,AI,[0.001],0.1,0.01,200000.0,19.87458796405344,Zilany2014,Zilany2014,40.0,51.0,20.0,0.013887367028233791,none
