,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,phase,result,roving_type
43,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",8598.208568553291,2866.069522851097,AI,[0.001 0.001],0.1,0.01,5732.139045702194,500000.0,47.90565767089101,Heinz2001,Heinz2001,40.0,40.0,30.0,[164.11951163],0.6772536330625226,phase
44,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",8598.208568553291,2866.069522851097,AI,[0.001 0.001],0.1,0.01,5732.139045702194,500000.0,57.90565767089101,Heinz2001,Heinz2001,40.0,40.0,40.0,[50.13519991],0.5514295553473477,phase
45,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",9502.578241168148,3167.526080389383,AI,[0.001 0.001],0.1,0.01,6335.052160778766,500000.0,37.92219396501764,Heinz2001,Heinz2001,40.0,40.0,20.0,[208.23212837],1.3281334141622785,phase
46,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",9502.578241168148,3167.526080389383,AI,[0.001 0.001],0.1,0.01,6335.052160778766,500000.0,47.92219396501764,Heinz2001,Heinz2001,40.0,40.0,30.0,[115.97556108],1.0389326064933497,phase
47,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",9502.578241168148,3167.526080389383,AI,[0.001 0.001],0.1,0.01,6335.052160778766,500000.0,57.92219396501764,Heinz2001,Heinz2001,40.0,40.0,40.0,[59.98700115],0.7846263398789903,phase
48,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",10502.070577791961,3500.69019259732,AI,[0.001 0.001],0.1,0.01,7001.38038519464,500000.0,37.92984240473501,Heinz2001,Heinz2001,40.0,40.0,20.0,[212.14712451],2.089043027091167,phase
49,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",10502.070577791961,3500.69019259732,AI,[0.001 0.001],0.1,0.01,7001.38038519464,500000.0,47.92984240473501,Heinz2001,Heinz2001,40.0,40.0,30.0,[311.81213776],1.6394719318337436,phase
50,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",10502.070577791961,3500.69019259732,AI,[0.001 0.001],0.1,0.01,7001.38038519464,500000.0,57.92984240473501,Heinz2001,Heinz2001,40.0,40.0,40.0,[139.7810658],1.2871958925319278,phase
51,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",11606.690691911128,3868.8968973037095,AI,[0.001 0.001],0.1,0.01,7737.793794607419,500000.0,37.93326042881357,Heinz2001,Heinz2001,40.0,40.0,20.0,[40.93142745],3.3413184365585336,phase
52,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",11606.690691911128,3868.8968973037095,AI,[0.001 0.001],0.1,0.01,7737.793794607419,500000.0,47.93326042881357,Heinz2001,Heinz2001,40.0,40.0,30.0,[12.79723737],2.641776921849715,phase
