,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,fs_synapse,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
37,[0.],4269.466660082513,1707.7866640330053,AI,[0.001],0.1,0.01,2846.3111067216755,500000.0,250000.0,68.70087320773527,Zilany2014,Zilany2014,40.0,72.0,60.0,0.01805049931120597,none
38,[0.],4269.466660082513,1707.7866640330053,AI,[0.001],0.1,0.01,2846.3111067216755,500000.0,250000.0,78.70087320773527,Zilany2014,Zilany2014,40.0,72.0,70.0,0.019392637946856358,none
39,[0.],4269.466660082513,1707.7866640330053,AI,[0.001],0.1,0.01,2846.3111067216755,500000.0,250000.0,88.70087320773527,Zilany2014,Zilany2014,40.0,72.0,80.0,0.01915077659517558,none
40,[0.],4718.534176278918,1887.4136705115668,AI,[0.001],0.1,0.01,3145.6894508526116,500000.0,250000.0,47.243707257190316,Zilany2014,Zilany2014,40.0,72.0,40.0,0.025730726982475118,none
41,[0.],4718.534176278918,1887.4136705115668,AI,[0.001],0.1,0.01,3145.6894508526116,500000.0,250000.0,57.243707257190316,Zilany2014,Zilany2014,40.0,72.0,50.0,0.02103174695115913,none
42,[0.],4718.534176278918,1887.4136705115668,AI,[0.001],0.1,0.01,3145.6894508526116,500000.0,250000.0,67.24370725719032,Zilany2014,Zilany2014,40.0,72.0,60.0,0.027511097797951984,none
43,[0.],4718.534176278918,1887.4136705115668,AI,[0.001],0.1,0.01,3145.6894508526116,500000.0,250000.0,77.24370725719032,Zilany2014,Zilany2014,40.0,72.0,70.0,0.028843469951093943,none
44,[0.],4718.534176278918,1887.4136705115668,AI,[0.001],0.1,0.01,3145.6894508526116,500000.0,250000.0,87.24370725719032,Zilany2014,Zilany2014,40.0,72.0,80.0,0.028630698250864672,none
45,[0.],5214.835141090398,2085.934056436159,AI,[0.001],0.1,0.01,3476.5567607269318,500000.0,250000.0,45.82534660999041,Zilany2014,Zilany2014,40.0,72.0,40.0,0.03699429970648912,none
46,[0.],5214.835141090398,2085.934056436159,AI,[0.001],0.1,0.01,3476.5567607269318,500000.0,250000.0,55.82534660999041,Zilany2014,Zilany2014,40.0,72.0,50.0,0.0286414175186164,none
