,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,fs_synapse,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
82,[0.],10502.070577791961,4200.828231116784,RP,[0.001],0.1,0.01,7001.38038519464,500000.0,250000.0,59.7611214338582,Zilany2014,Zilany2014,40.0,72.0,60.0,8.751907087718648,none
83,[0.],10502.070577791961,4200.828231116784,RP,[0.001],0.1,0.01,7001.38038519464,500000.0,250000.0,69.7611214338582,Zilany2014,Zilany2014,40.0,72.0,70.0,10.416587169671887,none
84,[0.],10502.070577791961,4200.828231116784,RP,[0.001],0.1,0.01,7001.38038519464,500000.0,250000.0,79.7611214338582,Zilany2014,Zilany2014,40.0,72.0,80.0,11.482656043049294,none
85,[0.],11606.690691911128,4642.676276764451,RP,[0.001],0.1,0.01,7737.793794607419,500000.0,250000.0,40.69583774187444,Zilany2014,Zilany2014,40.0,72.0,40.0,7.104616100684131,none
86,[0.],11606.690691911128,4642.676276764451,RP,[0.001],0.1,0.01,7737.793794607419,500000.0,250000.0,50.69583774187444,Zilany2014,Zilany2014,40.0,72.0,50.0,7.970339526963227,none
87,[0.],11606.690691911128,4642.676276764451,RP,[0.001],0.1,0.01,7737.793794607419,500000.0,250000.0,60.69583774187444,Zilany2014,Zilany2014,40.0,72.0,60.0,9.0268353884524,none
88,[0.],11606.690691911128,4642.676276764451,RP,[0.001],0.1,0.01,7737.793794607419,500000.0,250000.0,70.69583774187444,Zilany2014,Zilany2014,40.0,72.0,70.0,10.77278723464616,none
89,[0.],11606.690691911128,4642.676276764451,RP,[0.001],0.1,0.01,7737.793794607419,500000.0,250000.0,80.69583774187444,Zilany2014,Zilany2014,40.0,72.0,80.0,11.769633071169041,none
90,[0.],12827.49604659581,5130.998418638324,RP,[0.001],0.1,0.01,8551.664031063874,500000.0,250000.0,42.67751829487255,Zilany2014,Zilany2014,40.0,72.0,40.0,7.682961782658399,none
91,[0.],12827.49604659581,5130.998418638324,RP,[0.001],0.1,0.01,8551.664031063874,500000.0,250000.0,52.67751829487255,Zilany2014,Zilany2014,40.0,72.0,50.0,8.66669731303164,none
92,[0.],12827.49604659581,5130.998418638324,RP,[0.001],0.1,0.01,8551.664031063874,500000.0,250000.0,62.67751829487255,Zilany2014,Zilany2014,40.0,72.0,60.0,9.733913423270243,none
93,[0.],12827.49604659581,5130.998418638324,RP,[0.001],0.1,0.01,8551.664031063874,500000.0,250000.0,72.67751829487254,Zilany2014,Zilany2014,40.0,72.0,70.0,11.74032755907122,none
94,[0.],12827.49604659581,5130.998418638324,RP,[0.001],0.1,0.01,8551.664031063874,500000.0,250000.0,82.67751829487254,Zilany2014,Zilany2014,40.0,72.0,80.0,12.849561398452298,none
95,[0.],14176.707141864697,5670.682856745879,RP,[0.001],0.1,0.01,9451.138094576465,500000.0,250000.0,44.97720817264995,Zilany2014,Zilany2014,40.0,72.0,40.0,8.208908536555235,none
96,[0.],14176.707141864697,5670.682856745879,RP,[0.001],0.1,0.01,9451.138094576465,500000.0,250000.0,54.97720817264995,Zilany2014,Zilany2014,40.0,72.0,50.0,9.095216590660733,none
97,[0.],14176.707141864697,5670.682856745879,RP,[0.001],0.1,0.01,9451.138094576465,500000.0,250000.0,64.97720817264995,Zilany2014,Zilany2014,40.0,72.0,60.0,10.541620756180814,none
98,[0.],14176.707141864697,5670.682856745879,RP,[0.001],0.1,0.01,9451.138094576465,500000.0,250000.0,74.97720817264995,Zilany2014,Zilany2014,40.0,72.0,70.0,13.054850025277876,none
99,[0.],14176.707141864697,5670.682856745879,RP,[0.001],0.1,0.01,9451.138094576465,500000.0,250000.0,84.97720817264995,Zilany2014,Zilany2014,40.0,72.0,80.0,14.37021888066624,none
100,[0.],15667.829844276894,6267.131937710757,RP,[0.001],0.1,0.01,10445.219896184595,500000.0,250000.0,46.99566586349379,Zilany2014,Zilany2014,40.0,72.0,40.0,8.9164232479949,none
101,[0.],15667.829844276894,6267.131937710757,RP,[0.001],0.1,0.01,10445.219896184595,500000.0,250000.0,56.99566586349379,Zilany2014,Zilany2014,40.0,72.0,50.0,9.933731304153909,none
102,[0.],15667.829844276894,6267.131937710757,RP,[0.001],0.1,0.01,10445.219896184595,500000.0,250000.0,66.9956658634938,Zilany2014,Zilany2014,40.0,72.0,60.0,11.00014109190248,none
103,[0.],15667.829844276894,6267.131937710757,RP,[0.001],0.1,0.01,10445.219896184595,500000.0,250000.0,76.9956658634938,Zilany2014,Zilany2014,40.0,72.0,70.0,14.356558685587547,none
104,[0.],15667.829844276894,6267.131937710757,RP,[0.001],0.1,0.01,10445.219896184595,500000.0,250000.0,86.9956658634938,Zilany2014,Zilany2014,40.0,72.0,80.0,16.319289545755897,none
105,[0.],17315.79058329371,6926.316233317485,RP,[0.001],0.1,0.01,11543.860388862475,500000.0,250000.0,48.865164487789535,Zilany2014,Zilany2014,40.0,72.0,40.0,9.620221439302567,none
106,[0.],17315.79058329371,6926.316233317485,RP,[0.001],0.1,0.01,11543.860388862475,500000.0,250000.0,58.865164487789535,Zilany2014,Zilany2014,40.0,72.0,50.0,10.777304569098765,none
107,[0.],17315.79058329371,6926.316233317485,RP,[0.001],0.1,0.01,11543.860388862475,500000.0,250000.0,68.86516448778953,Zilany2014,Zilany2014,40.0,72.0,60.0,11.862186501509818,none
108,[0.],17315.79058329371,6926.316233317485,RP,[0.001],0.1,0.01,11543.860388862475,500000.0,250000.0,78.86516448778953,Zilany2014,Zilany2014,40.0,72.0,70.0,14.439352174269036,none
109,[0.],17315.79058329371,6926.316233317485,RP,[0.001],0.1,0.01,11543.860388862475,500000.0,250000.0,88.86516448778953,Zilany2014,Zilany2014,40.0,72.0,80.0,17.061253605735924,none
110,[0.],19137.085767752775,7654.83430710111,RP,[0.001],0.1,0.01,12758.057178501851,500000.0,250000.0,50.73619056988742,Zilany2014,Zilany2014,40.0,72.0,40.0,10.407539752724277,none
111,[0.],19137.085767752775,7654.83430710111,RP,[0.001],0.1,0.01,12758.057178501851,500000.0,250000.0,60.73619056988742,Zilany2014,Zilany2014,40.0,72.0,50.0,11.661155691913912,none
112,[0.],19137.085767752775,7654.83430710111,RP,[0.001],0.1,0.01,12758.057178501851,500000.0,250000.0,70.73619056988741,Zilany2014,Zilany2014,40.0,72.0,60.0,12.783131928049482,none
113,[0.],19137.085767752775,7654.83430710111,RP,[0.001],0.1,0.01,12758.057178501851,500000.0,250000.0,80.73619056988741,Zilany2014,Zilany2014,40.0,72.0,70.0,15.315985287214527,none
114,[0.],19137.085767752775,7654.83430710111,RP,[0.001],0.1,0.01,12758.057178501851,500000.0,250000.0,90.73619056988741,Zilany2014,Zilany2014,40.0,72.0,80.0,16.798758554551465,none
115,[0.],21149.94691814202,8459.978767256807,RP,[0.001],0.1,0.01,14099.96461209468,500000.0,250000.0,52.594091411120644,Zilany2014,Zilany2014,40.0,72.0,40.0,11.372512289090507,none
116,[0.],21149.94691814202,8459.978767256807,RP,[0.001],0.1,0.01,14099.96461209468,500000.0,250000.0,62.594091411120644,Zilany2014,Zilany2014,40.0,72.0,50.0,12.722271475564591,none
117,[0.],21149.94691814202,8459.978767256807,RP,[0.001],0.1,0.01,14099.96461209468,500000.0,250000.0,72.59409141112064,Zilany2014,Zilany2014,40.0,72.0,60.0,13.584825774295341,none
118,[0.],21149.94691814202,8459.978767256807,RP,[0.001],0.1,0.01,14099.96461209468,500000.0,250000.0,82.59409141112064,Zilany2014,Zilany2014,40.0,72.0,70.0,17.98344054263721,none
119,[0.],21149.94691814202,8459.978767256807,RP,[0.001],0.1,0.01,14099.96461209468,500000.0,250000.0,92.59409141112064,Zilany2014,Zilany2014,40.0,72.0,80.0,19.723076507040656,none
